Month/Year,Price
08/2019,2.33
07/2019,2.28
06/2019,2.42
05/2019,2.59
04/2019,2.59
03/2019,2.73
02/2019,2.89
01/2019,2.82
11/2018,4.61
10/2018,3.31
09/2018,3.01
08/2018,2.98
07/2018,2.82
06/2018,2.96
05/2018,2.94
04/2018,2.75
03/2018,2.81
02/2018,2.66
01/2018,3.34
11/2017,3.06
10/2017,2.84
09/2017,2.94
08/2017,2.92
07/2017,2.87
06/2017,2.98
05/2017,3.05
04/2017,3.2
03/2017,3.13
02/2017,2.54
01/2017,3
11/2016,3.32
10/2016,2.85
09/2016,2.84
08/2016,2.95
07/2016,2.97
06/2016,2.94
05/2016,2.12
04/2016,1.89
03/2016,1.98
02/2016,1.62
01/2016,2.28
11/2015,2.11
10/2015,1.98
09/2015,2.47
08/2015,2.7
07/2015,2.76
06/2015,2.8
05/2015,2.78
04/2015,2.56
03/2015,2.65
02/2015,2.79
01/2015,2.88
11/2014,4.3
10/2014,3.82
09/2014,3.89
08/2014,4.04
07/2014,3.78
06/2014,4.39
05/2014,4.49
04/2014,4.79
03/2014,4.48
02/2014,4.8
01/2014,5.04
11/2013,3.87
10/2013,3.57
09/2013,3.48
08/2013,3.57
07/2013,3.46
06/2013,3.57
05/2013,4.02
04/2013,4.3
03/2013,4.03
02/2013,3.48
01/2013,3.33
11/2012,3.46
10/2012,3.5
09/2012,3.08
08/2012,2.72
07/2012,3.2
06/2012,2.74
05/2012,2.34
04/2012,2.1
03/2012,2
02/2012,2.44
01/2012,2.51
11/2011,3.53
10/2011,3.66
09/2011,3.68
08/2011,3.97
07/2011,4.26
06/2011,4.28
05/2011,4.63
04/2011,4.51
03/2011,4.32
02/2011,3.93
01/2011,4.42
11/2010,4.16
10/2010,3.36
09/2010,3.85
08/2010,3.8
07/2010,4.81
06/2010,4.53
05/2010,4.31
04/2010,3.94
03/2010,3.93
02/2010,4.76
01/2010,5.26
11/2009,4.41
10/2009,4.11
09/2009,3.25
08/2009,2.42
07/2009,3.34
06/2009,3.72
05/2009,3.92
04/2009,3.25
03/2009,3.58
02/2009,4.04
01/2009,4.77
11/2008,6.43
10/2008,6.18
09/2008,7.17
08/2008,8.24
07/2008,9.26
06/2008,13.19
05/2008,11.43
04/2008,10.81
03/2008,9.86
02/2008,9.1
01/2008,8.1
11/2007,7.29
10/2007,7.28
09/2007,6.15
08/2007,5.49
07/2007,6.53
06/2007,6.4
05/2007,7.8
04/2007,7.71
03/2007,7.5
02/2007,7.23
01/2007,7.76
11/2006,8.32
10/2006,6.64
09/2006,3.66
08/2006,5.8
07/2006,8.04
06/2006,5.84
05/2006,5.97
04/2006,6.64
03/2006,6.98
02/2006,6.69
01/2006,8.73
11/2005,11.73
10/2005,12.18
09/2005,14.84
08/2005,12.69
07/2005,7.76
06/2005,7.01
05/2005,6.31
04/2005,6.64
03/2005,7.46
02/2005,6.62
01/2005,6.14
11/2004,6.79
10/2004,6.43
09/2004,6.36
08/2004,5.04
07/2004,6.03
06/2004,6.03
05/2004,6.45
04/2004,5.81
03/2004,5.63
02/2004,5.27
01/2004,5.8
11/2003,4.86
10/2003,3.98
09/2003,4.66
08/2003,4.86
07/2003,4.63
06/2003,5.31
05/2003,5.99
04/2003,5.25
03/2003,5.01
02/2003,10.81
01/2003,5.58
11/2002,4.19
10/2002,4.39
09/2002,4.09
08/2002,3.12
07/2002,3.02
06/2002,3.2
05/2002,3.15
04/2002,3.65
03/2002,3.18
02/2002,2.49
01/2002,2.28
11/2001,1.83
10/2001,3.07
09/2001,1.8
08/2001,2.15
07/2001,3.31
06/2001,2.91
05/2001,3.73
04/2001,4.73
03/2001,5.35
02/2001,5.25
01/2001,5.83
11/2000,6.31
10/2000,4.37
09/2000,5.1
08/2000,4.76
07/2000,3.75
06/2000,4.36
05/2000,4.52
04/2000,3.09
03/2000,2.88
02/2000,2.65
01/2000,2.69
11/1999,2.22
10/1999,2.76
09/1999,2.31
08/1999,2.84
07/1999,2.55
06/1999,2.34
05/1999,2.29
04/1999,2.25
03/1999,2.02
02/1999,1.63
01/1999,1.83
11/1998,1.63
10/1998,2
09/1998,2.22
08/1998,1.61
07/1998,1.85
06/1998,2.39
05/1998,2.1
04/1998,2.18
03/1998,2.34
02/1998,2.23
01/1998,2.09
11/1997,2.5
10/1997,3.22
09/1997,2.96
08/1997,2.69
07/1997,2.23
06/1997,2.17
05/1997,2.23
04/1997,2.16
03/1997,1.84
02/1997,1.78
01/1997,2.77
